Player,weighted_AST%,weighted_STL%,weighted_BLK%,weighted_USG%,weighted_TOV%,weighted_Rel_TS%,weighted_BPM,weighted_PTS_per_100,weighted_ORB%,weighted_DRB%,weighted_FTr,avg_MPG,weighted_GS%,weighted_Age,peak_BPM,career_MPG,career_years,career_score
AJ Griffin,6.831435806058333,1.3438119353527775,0.7204320235080809,17.869351964737877,7.31453624683485,-1.4153841945668824,-1.2495045171777799,21.281143518084342,2.8131639000906565,9.271512082278281,0.08513951670886868,14.05,0.15846963018537621,19.051080058770204,-0.8,14.05,2,3.0100000000000007
Aaron Gordon,10.551149205655948,1.4740277166716442,1.8644134828141006,20.645462963260318,9.515003741301074,-1.7979437734901786,-0.20963794482142914,22.304295859305668,6.1606981406964705,18.571799367778993,0.2766133020113106,25.625,0.7734390537237988,20.95280501238001,2.1,28.936363636363637,11,10.137272727272727
Aaron Harrison,5.425867237687366,2.803940042826553,0.0,13.600985010706637,12.354860813704496,-20.48932025695931,-6.980728051391862,8.870749464668092,4.118286937901499,13.892119914346894,0.6156625267665953,3.9000000000000004,0.0,21.123768736616704,-6.3,11.233333333333334,3,-0.0033333333333329662
Aaron Nesmith,4.915414155921196,1.3365606169408972,1.1028661525492525,15.079936932155233,11.98280308470449,-2.2521012051578255,-3.6336944643916453,16.333694464391645,3.929744918667457,15.417196915295515,0.15148025227137904,12.75,0.03619363701645384,21.394267694901494,-0.5,20.6,5,5.37
Adam Mokoka,6.131147540983608,1.7000000000000002,0.2622950819672132,13.214754098360658,8.627868852459017,-5.279524590163935,-4.952459016393442,13.668852459016398,5.8459016393442615,3.8704918032786884,0.12824590163934424,7.1,0.0,21.16393442622951,-4.1,7.1,2,-0.029999999999999916
Adama Sanogo,1.2573090541224077,0.6498735457764289,0.0,23.12984319676277,13.231107738998482,-1.8837344461305003,-5.930601922104199,25.436014162873036,30.43651997976732,24.802377339403133,0.3606798179059181,6.3,0.0,21.187658067779463,-2.6,6.3,2,0.5599999999999999
Al Harrington,9.085606673398827,1.600376243513068,0.9178979684220321,20.742875034750156,15.296665184374165,-2.1055798010150757,-2.849503279786231,20.2592492483407,7.615778822930362,15.29652869548936,0.3089910828403617,21.78,0.3241243909804309,20.973891291826483,0.2,26.09375,16,10.118749999999999
Al Horford,9.839959835467477,1.2484989958866868,2.733488954753556,16.193995983546746,14.233022090492888,0.9358425530953165,0.0004668642606692203,17.727484938300304,9.557038156305897,24.742494979433435,0.3305797188482723,32.45,0.9747645079844767,21.48498995886687,5.1,31.366666666666667,18,14.223333333333333
Al Jefferson,6.370559520806613,1.1679141516237792,3.5213050630078198,22.09838528029331,12.109104248009578,0.6279762691270565,-0.18986510251427324,24.322402148696323,12.10536179313824,25.7008359593993,0.34181667868676563,22.133333333333336,0.6242302032521769,21.553903926842,3.7,27.892857142857142,14,11.62857142857143
Al-Farouq Aminu,7.312122757888382,2.2749535875520945,1.862215582784192,15.668014102443983,17.970141614355068,-3.0409809957074994,-1.3115231264118927,15.012011021004453,7.465441378041967,21.095591251210195,0.296503319140667,22.5,0.5856096392147881,21.26202993299257,0.7,24.318181818181817,11,8.513636363636362
Alec Burks,14.943089511529879,1.6482407636994796,0.5682125588891644,23.014951029010657,12.932473344904537,-0.5129484645425242,-1.361467889908257,24.65793918918919,3.768847322092735,10.588597818001487,0.4171320666997273,20.599999999999998,0.0980451710885197,21.482407636994793,1.5,22.364285714285717,14,9.422857142857143
Aleksej Pokusevski,14.051347180146847,1.2833853601442504,3.657146249111354,19.61167719074775,16.439257685651913,-9.687261171797418,-3.3076580672284166,17.484098651213657,4.867580662507316,18.98317627521555,0.13245623951607383,19.875,0.4459299279166789,19.99731276284015,0.0,19.875,4,5.175
Alen Smailagić,12.31293257514216,1.178326563769293,3.2623558082859465,18.04714865962632,17.455515840779853,0.8325895694557268,-2.989731925264013,19.128139723801787,7.5509504467912265,13.39429731925264,0.41054768480909826,7.75,0.017068399675060925,19.254752233956133,-2.2,7.75,2,1.0499999999999998
Alex Len,5.943332721042331,1.0265310336527804,3.8970971072417133,17.3249007771873,16.436153461238813,-3.1352717912045462,-3.333049272534948,16.581783540351033,10.382432399906255,23.989548065899402,0.346322546032671,17.96666666666667,0.5898385730663744,21.498059882060087,0.3,15.591666666666669,12,6.868333333333334
Alexis Ajinça,4.17981746615338,1.7961373761840909,3.8029888836022323,21.7615294779186,11.827289242614302,-5.394249599896189,-4.707924218175527,21.457982611704658,5.911276439292358,19.49002119468835,0.1967997750767767,6.966666666666666,0.0733423158441109,21.50309269432069,-0.3,11.657142857142857,7,4.281428571428572
Allen Crabbe,8.140927694406548,1.3727148703956342,1.5386084583901773,11.84106412005457,8.55225102319236,-1.303693997271487,-1.1615279672578445,12.786493860845837,1.1,9.990859481582538,0.10609140518417463,10.05,0.16399454297407912,21.931787175989083,-0.7,21.114285714285717,7,5.972857142857143
Allen Iverson,32.087781994967806,2.8016290673376263,0.6000000000000001,27.89185466331187,14.536560194464585,-0.5454903023583094,2.2609962045289778,29.6,3.5463345984903407,7.452036334172033,0.3710733080301931,39.75,0.9871058893769457,21.504072668344065,6.1,40.699999999999996,14,15.389999999999997
Alperen Şengün,22.93029765814854,1.727769523532102,2.7188880589821642,24.59738405285397,14.667415819079014,-0.5682186448335618,3.0351749477816936,27.87227310885654,10.879875686672325,22.10964863523278,0.37465226620444775,28.4,0.8821531237354125,20.79217135162931,4.9,28.4,4,9.329999999999998
Alton Ford,2.9611453830086942,0.6531791907514449,1.113455093019867,17.406732403944233,18.24198766211687,4.6930814203137885,-6.313882547238548,18.894020498372758,7.7884247340554715,19.1981881770049,0.48267775780832556,5.3,0.0,20.112692475834262,-0.7,5.3,3,1.6099999999999999
Amar'e Stoudemire,6.6610389660483404,1.3862320682543252,2.9310926470151455,25.96015168913563,12.949442959199455,4.423299925131309,1.3643897353135284,29.83018191818908,9.330901290202384,19.003368358200202,0.5648321529589332,34.73333333333333,0.9480747869173809,21.09200208752887,4.8,29.321428571428573,14,12.464285714285715
Amen Thompson,16.930263139964296,2.2815788397857815,3.267105460392734,17.80263139964297,14.690789419892893,1.6791584290639525,3.403947780821171,21.048684300178518,9.69605221917883,18.865789079214533,0.3521842116021422,27.3,0.5369737268849734,21.697368600357034,4.1,27.3,2,8.110000000000001
Amir Johnson,4.795032197267159,1.519998429401602,5.0186767708496935,13.730018847180776,15.081435526935763,7.8635024452253806,-0.41965760954923814,16.610254633265274,13.081057798021046,19.27308563687765,0.36313184584576724,14.64,0.13254656824250038,21.21509148735668,1.3,19.728571428571428,14,8.795714285714286
Andray Blatche,10.423209386298696,1.6096654046088017,4.395437637124404,20.541196317128765,15.219267785301689,-3.705991152484706,-2.073586818998157,20.47372613502282,9.987135065464317,18.450354687226046,0.26738516616042196,15.649999999999999,0.34243247200648247,21.360747946984095,2.2,21.077777777777776,9,8.015555555555554
Andre Drummond,3.5544236078356475,2.0037287558566517,4.163708810255073,20.586978241360736,10.498582484466707,0.0101832464965799,0.9900187062915399,22.870250617650257,16.918121811054792,30.39879972822661,0.45777412116515565,29.1,0.9218754504345241,20.82379016002409,3.2,26.27692307692308,13,10.755384615384617
Andre Iguodala,13.50421526210183,2.429474699021821,0.8884240970654627,13.879993572861801,16.478955825181842,5.730985477019062,0.945265864058189,15.60525300978179,4.0978923689490845,14.706322893152748,0.4543469557311262,35.2,1.0,21.568417669927264,4.0,30.089473684210528,19,13.717894736842105
Andrea Bargnani,6.298362458970689,0.8436918531777363,2.0310755595332095,22.547897284392583,11.624302238132838,-2.1399689775062147,-2.789951596541004,23.22266469710353,3.4394864219628944,15.008410862429686,0.23012616293644533,24.5,0.36862559713608967,21.521027156074215,1.1,28.389999999999997,10,9.228
Andrei Kirilenko,12.232550448589892,2.9,6.145364008303535,20.547373465303597,14.469340418233651,5.003956976159332,6.276322087187108,23.572022315747567,8.89990638085353,15.829314700738646,0.5579833951536651,30.333333333333332,0.6370089300313515,21.22682004151767,9.2,28.084615384615386,13,14.116923076923078
Andrew Bogut,13.667438445618535,1.0999999999999999,1.7116354196392205,16.648827647731903,16.423241471597848,2.2151313821372467,0.18604924350517119,17.9488276477319,9.025586176134048,20.923241471597848,0.3135814773051551,31.400000000000002,0.9716274903654613,21.53487689123707,3.1,26.064285714285713,14,10.962857142857143
Andrew Bynum,7.4203490550793,0.636200752137069,4.572040147183946,19.11461101261651,13.783973676940159,6.528762544662845,1.1685489013620831,23.14194956754725,10.426748533344302,21.739099543771474,0.416824597882363,23.46,0.8571107175188396,20.682225853104494,4.2,25.0125,8,9.502500000000001
Andrew Wiggins,9.677923059381065,1.4502763601972293,1.2182362287419266,25.56490677856628,10.104535972761312,-2.1638686199431705,-1.9587951656085913,27.54595546897989,4.040653303194557,9.177028129886494,0.3567402902015247,36.2,1.0,20.518077902236765,0.9,33.554545454545455,11,10.460909090909091
Andris Biedriņš,6.498989929095347,1.445387621043094,3.767887852027146,14.605689062681618,14.06909075735945,6.327089994366969,0.40961221503274015,17.383193898444507,12.361311810587116,25.06956345504454,0.34878863618074574,22.759999999999998,0.7447103161948134,20.715201134951315,1.3,19.31,10,7.5120000000000005
Anfernee Simons,16.13377068158312,0.87481463944601,0.49448106568650363,21.71414598717348,10.707704939905161,-0.7361284060346635,-1.9470710975973098,24.50682676575301,1.6097294352860687,9.43587813904123,0.15414145686222774,18.65,0.27932044428349156,21.176487524088596,0.2,25.24285714285714,7,7.248571428571427
Ante Žižić,7.436662208491881,0.5932477489356891,2.0295765361865654,18.240513506385863,13.498716234035335,4.1156477159703115,-2.916405455298949,21.511887314922955,10.748549523414836,22.516405455298948,0.4012957653618657,12.5,0.3995568511471951,21.93247748935689,1.0,11.666666666666666,3,3.7333333333333334
Anthony Bennett,6.817159856367782,1.5629046208686084,1.2291091133069485,18.74939847456295,12.059937619584307,-9.119558789610256,-5.197512646449821,16.904843655806882,7.122210573218359,20.433077346473414,0.25160860220690384,10.966666666666667,0.032496238827877236,20.64542762037062,-1.4,11.1,4,2.72
Anthony Black,16.750504614536936,2.0591367831397216,2.1892446852472562,17.522554754580103,16.460215804215068,-4.459201845814776,-2.2311869231828827,17.663417971440378,3.090323706322604,11.219352587354791,0.3198064741264521,20.549999999999997,0.23337765737637167,20.69892097892465,-1.9,20.549999999999997,2,3.7599999999999993
Anthony Davis,9.2323128343886,2.013696683077272,5.761646595200022,26.485361118966996,8.090330618051754,3.6843190085403887,5.370085496722797,32.00701353617986,8.58352748331559,24.359903273688648,0.3885971740692323,33.9,0.9849435268069542,20.62697607769403,9.4,34.3,13,15.459999999999999
Anthony Edwards,19.31529203782789,1.9121154390235324,1.5607347276328103,29.12403166051994,12.036112613148022,-1.7805100323602925,1.02866254727231,32.07810565894964,2.312386642715921,14.30178107165637,0.26611578556158416,34.375,0.9475620144072775,20.620773533198175,4.3,34.760000000000005,5,10.602000000000002
Anthony Randolph,7.794915225884635,1.7431989264299708,4.4430063678166904,23.367395886382983,13.477654465092247,-2.6548502319624987,-1.5274475946901405,23.70932478095529,10.652042310852053,21.49209282960793,0.3761314249709118,17.65,0.24121158214037444,20.07880219620905,-0.6,15.216666666666667,6,4.543333333333333
